网站,品牌,产品名称,规格,原价货币,原价金额,人民币税前,人民币税后,解析雪茄支数,单支人民币税后,链接
Cigar VIU,Romeo y Julieta,Romeo y Julieta Amantes Gift Box,默认,CHF,372.00,3227.36,4841.04,,,https://cigarviu.com/products/romeo-y-julieta-amantes-gift-box
Cigar VIU,Cohiba,Cohiba Siglo 2,Box of 5,CHF,203.00,1761.17,2641.76,5,528.35,https://cigarviu.com/products/cohiba-siglo-2-slb-25
Cigar VIU,Cohiba,Cohiba Siglo 2,Tubos / Box of 3,CHF,132.00,1145.19,1717.78,3,572.59,https://cigarviu.com/products/cohiba-siglo-2-slb-25
Cigar VIU,Cohiba,Cohiba Short Humidor Year of the Horse,默认,CHF,230.00,1995.41,2993.12,,,https://cigarviu.com/products/cohiba-short-humidor-year-of-the-horse
Cigar VIU,Trinidad,Trinidad Wide Short,Box of 6,CHF,22.20,192.60,288.90,6,48.15,https://cigarviu.com/products/trinidad-wide-short
Cigar VIU,Bolivar,Bolivar Royal Coronas A/T,Box of 10,CHF,231.00,2004.09,3006.14,10,300.61,https://cigarviu.com/products/bolivar-royal-coronas-a-t-10
Cigar VIU,Partagas,Partagas Serie D No. 4 A/T,Box of 3,CHF,88.20,765.20,1147.80,3,382.60,https://cigarviu.com/products/partagas-serie-d-no-4-a-t-3
Cigar VIU,Punch,Les Fines Lames Adjustable Punch Bracelet Oscuro Ring I,默认,CHF,98.00,850.22,1275.33,,,https://cigarviu.com/products/les-fines-lames-adjustable-punch-bracelet-oscuro-ring-i
Cigar VIU,Oliva,Oliva Serie V  Mini 20,默认,CHF,19.00,164.84,247.26,,,https://cigarviu.com/products/oliva-serie-v-mini-20
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Exhibicion No.4,Box of 25,CHF,542.50,4706.57,7059.86,25,282.39,https://cigarviu.com/products/romeo-exhibicion-no-4
Cigar VIU,Montecristo,Montecristo Petit Tubos,Box of 25,CHF,507.50,4402.92,6604.38,25,264.18,https://cigarviu.com/products/montecristo-petit-tubos
Cigar VIU,Montecristo,Montecristo Petit Tubos,Box of 5,CHF,101.50,880.58,1320.87,5,264.17,https://cigarviu.com/products/montecristo-petit-tubos
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Petit Royales,Box of 25,CHF,357.50,3101.56,4652.34,25,186.09,https://cigarviu.com/products/romeo-petit-royales
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Petit Royales,A/T Box of 3,CHF,50.40,437.26,655.89,3,218.63,https://cigarviu.com/products/romeo-petit-royales
Cigar VIU,Partagas,Partagas Lusitanias,Box of 10,CHF,500.00,4337.85,6506.78,10,650.68,https://cigarviu.com/products/partagas-lusitanias-25
